oid;category
1001;3-Ma?arsko-Bükfürdö
1001;3-Ma?arsko-void
3160;3-?eská republika-Františkovy Lázn?
3160;3-?eská republika-void
3161;3-?eská republika-Františkovy Lázn?
3161;3-?eská republika-void
3164;3-?eská republika-Františkovy Lázn?
3164;3-?eská republika-void
3173;3-Slovensko-Rajecké Teplice
3173;3-Slovensko-void
3175;3-Slovensko-Rajecké Teplice
3175;3-Slovensko-void
955;2-N?mecko-void
471;7-?eská republika-Šumava
471;7-?eská republika-void
2895;3-N?mecko-Bad Füssing
2895;3-N?mecko-void
2608;2-Ma?arsko-void
324;2-Rakousko-void
3229;3-Slovensko-Dudince
3229;3-Slovensko-void
294;3-Slovensko-Dudince
294;3-Slovensko-void
3231;3-Slovensko-Dudince
3231;3-Slovensko-void
2689;3-Slovensko-Pieš?any
2689;3-Slovensko-void
1079;3-Slovensko-Pieš?any
1079;3-Slovensko-void
3232;3-Slovensko-Pieš?any
3232;3-Slovensko-void
671;7-?eská republika-Bílé Karpaty
671;7-?eská republika-void
666;3-Slovensko-Pieš?any
666;3-Slovensko-void
2581;7-?eská republika-Bílé Karpaty
2581;7-?eská republika-void
2804;3-Slovensko-Kúpele Lú?ky
2804;3-Slovensko-void
2811;3-Slovensko-Kúpele Lú?ky
2811;3-Slovensko-void
3238;3-Slovensko-Kúpele Lú?ky
3238;3-Slovensko-void
2805;3-Slovensko-Kúpele Lú?ky
2805;3-Slovensko-void
3241;3-Slovensko-Slia?
3241;3-Slovensko-void
34;3-?eská republika-Mariánské Lázn?
34;3-?eská republika-void
624;3-?eská republika-Mariánské Lázn?
624;3-?eská republika-void
624;3-?eská republika, víkendové pobyty-Mariánské Lázn?
624;3-?eská republika, víkendové pobyty-void
745;3-?eská republika-Mariánské Lázn?
745;3-?eská republika-void
745;3-?eská republika, víkendové pobyty-Mariánské Lázn?
745;3-?eská republika, víkendové pobyty-void
3245;3-?eská republika-Mariánské Lázn?
3245;3-?eská republika-void
3251;3-Slovensko-Velký Meder
3251;3-Slovensko-void
3252;3-Slovensko-Velký Meder
3252;3-Slovensko-void
1978;2-Ma?arsko-void
3253;3-Slovensko-Velký Meder
3253;3-Slovensko-void
3254;3-Slovensko-Velký Meder
3254;3-Slovensko-void
3266;3-Slovensko-Velký Meder
3266;3-Slovensko-void
3268;3-?eská republika-Mariánské Lázn?
3268;3-?eská republika-void
1805;3-?eská republika-Mariánské Lázn?
1805;3-?eská republika-void
1804;3-?eská republika-Mariánské Lázn?
1804;3-?eská republika-void
1803;3-?eská republika-Mariánské Lázn?
1803;3-?eská republika-void
2505;2-Špan?lsko-void
1990;2-Slovinsko-void
1401;2-Polsko-void
707;2-Itálie-void
1864;2-Indie-void
1994;2-Indie-void
2155;2-Indonésie-void
2160;2-Indonésie-void
652;2-USA-void
651;3-?eská republika-Teplice v ?echách
651;3-?eská republika-void
1688;3-Slovensko-Velký Meder
1688;3-Slovensko-void
1993;2-Indie-void
297;3-Slovensko-Podhájska
297;3-Slovensko-void
1227;3-Slovensko-Podhájska
1227;3-Slovensko-void
3276;3-Slovensko-Dunajská Streda
3276;3-Slovensko-void
2757;3-?eská republika-void
1068;3-?eská republika-Jáchymov
1068;3-?eská republika-void
534;3-?eská republika-Jáchymov
534;3-?eská republika-void
534;3-?eská republika, víkendové pobyty-Jáchymov
534;3-?eská republika, víkendové pobyty-void
2756;3-?eská republika-void
952;3-?eská republika-Jáchymov
952;3-?eská republika-void
1066;3-?eská republika-Jáchymov
1066;3-?eská republika-void
1066;3-?eská republika, víkendové pobyty-Jáchymov
1066;3-?eská republika, víkendové pobyty-void
3278;3-?eská republika-Luha?ovice
3278;3-?eská republika-void
2568;3-?eská republika-Luha?ovice
2568;3-?eská republika-void
2570;3-?eská republika-Luha?ovice
2570;3-?eská republika-void
2567;3-?eská republika-Luha?ovice
2567;3-?eská republika-void
488;3-?eská republika-T?ebo?
488;3-?eská republika-void
2751;3-?eská republika-T?ebo?
2751;3-?eská republika-void
1108;3-?eská republika-T?ebo?
1108;3-?eská republika-void
1108;3-?eská republika, víkendové pobyty-T?ebo?
1108;3-?eská republika, víkendové pobyty-void
1106;3-?eská republika-T?ebo?
1106;3-?eská republika-void
1106;3-?eská republika, víkendové pobyty-T?ebo?
1106;3-?eská republika, víkendové pobyty-void
2747;3-?eská republika-T?ebo?
2747;3-?eská republika-void
1105;3-?eská republika-T?ebo?
1105;3-?eská republika-void
1107;3-?eská republika-T?ebo?
1107;3-?eská republika-void
1107;3-?eská republika, víkendové pobyty-T?ebo?
1107;3-?eská republika, víkendové pobyty-void
489;3-?eská republika-T?ebo?
489;3-?eská republika-void
489;3-?eská republika, víkendové pobyty-T?ebo?
489;3-?eská republika, víkendové pobyty-void
3280;2-Itálie-void
